sample_id	donor_rrid_ref	study_accession	library_chemistry	library_prep_kit	sequencing_platform	alignment_tool	reference_genome	cellranger_version	n_cells	mean_umi_count_per_cell	mean_genes_per_cell	mean_total_reads_per_cell	mean_uniquely_mapped_reads_per_cell	mean_secondary_alignments_per_cell	mean_supplementary_alignments_per_cell	mean_cellbender_cell_probability	mean_post_cellbender_umis_per_cell	mean_pct_cellbender_removed	mean_pct_mitochondrial_reads
SAMN08768783__rep1__no_treatment	SAMN08768783	GSE183568	V2							4874.218280600831	2107.4979226589967	12045.998082454458	10645.197507190796	1345.427293064877	0.0	0.9998473642199288	5421.960051134548	14.302580783115118	2.867642553421197
SAMN08768783__rep2__no_treatment	SAMN08768783	GSE183568	V2							3342.5004686035613	1533.0865354576695	8267.959700093721	7283.971258981568	921.2521087160262	0.0	0.9996619107238355	3677.576382380506	24.873220443022355	2.9174317724097647
SAMN08768783__rep3__no_treatment	SAMN08768783	GSE183568	V2							1608.0957789134961	923.1714934696196	3535.956085557448	3107.3325761877722	400.2104864660231	0.0	0.9993834277230998	1779.1796327844029	15.500078945366802	2.4575515992703885
SAMN10372788__no_treatment	SAMN10372788	GSE221156	V2							9640.111532985287	2705.170384432843	28440.19791172283	24997.273849074514	3909.487897484575	0.0	0.9999208797138903	10543.821072615092	8.09531116103839	3.942075971233539
SAMN10439569__no_treatment	SAMN10439569	GSE221156	V2							7593.430645968953	2375.602403605408	17572.54131196795	15701.409113670506	2155.6369554331495	0.0	0.9998790133160594	8283.689534301453	8.72820713615848	4.021210445882201
SAMN16081314	SAMN16081314	GSE217837	V3							24806.43579766537	5094.243190661478	59702.81128404669	54251.365110246436	8949.185473411155	0.0	0.9999603245663427	27104.592088197147	10.635505763639978	6.49080233784258
SRR10751487	SAMN08611143	GSE142465	V2							17837.14682080925	4470.682080924856	45687.517919075144	39573.57109826589	5083.109826589595	0.0	0.9999620427975076	19335.949132947975	5.351838314384786	3.9134350976012873
SRR10751488	SAMN08611143	GSE142465	V2							8710.539165446558	2938.214494875549	17147.03843338214	14849.527452415812	2058.995973645681	0.0	0.999936114162163	9451.53989751098	8.721577570750522	4.615859457184702
SRR10751489	SAMN08611143	GSE142465	V2							9638.695935582822	3206.2269938650306	19893.296779141103	17260.21894171779	2258.9325153374234	0.0	0.9999306915225061	10489.583205521472	8.629334021507372	4.464799851106549
SRR10751490	SAMN08611143	GSE142465	V2							6011.679107981221	2428.837558685446	11791.356338028168	10241.82441314554	1401.0535211267606	0.0	0.9998235611568594	6464.96103286385	16.886695642255894	4.314081582153799
SRR10751492	SAMN09929411	GSE142465	V2							5721.405113769646	2106.1932911095473	11419.396434435843	9651.35327234342	1089.5540699038236	0.0	0.9998807152084361	6211.159981233873	11.760689222453314	2.82807822057303
SRR10751493	SAMN09929411	GSE142465	V2							7147.158103888732	2408.068407607153	15993.800170309396	13554.71075787681	1481.4822594379789	0.0	0.9999077951167071	7678.106159523134	10.312874184356188	3.0664487470093778
SRR10751494	SAMN09929411	GSE142465	V2							6129.793507853403	2195.190785340314	11973.480628272251	10210.148481675393	1168.0395811518324	0.0	0.9999183251595621	6634.789738219895	7.765398896903911	2.8918015811911397
SRR10751495	SAMN09929411	GSE142465	V2							8803.303195352215	2743.5036310820624	20129.176470588234	17380.434640522875	1889.5268700072622	0.0	0.9999251119365014	9500.217501815541	8.511621531829427	2.8061643317966793
SRR10751496	SAMN09929411	GSE142465	V2							7896.895820714718	2521.5596608116293	19117.994548758328	16702.864627498486	1811.659903089037	0.0	0.9999060124465727	8453.79648697759	14.111077004712694	2.8046806199326326
SRR10751497	SAMN09929411	GSE142465	V2							4661.028130671506	1858.455898366606	8663.386025408348	7460.374591651543	846.9934664246824	0.0	0.9998482373362227	5070.153357531761	9.309736217644609	2.7910736412566277
SRR10751498	SAMN09929411	GSE142465	V2							5031.972641509434	1853.9837264150945	10548.18962264151	8967.749056603774	1004.2806603773585	0.0	0.9998410270180342	5405.895754716981	14.38150749938783	2.6410870233499906
SRR10751499	SAMN09929411	GSE142465	V2							4766.889132821076	1886.809366995975	9148.018843761434	7916.615806805708	869.3843761434322	0.0	0.9998658660498024	5194.875777533845	12.874838008233112	2.672184239955243
SRR10751500	SAMN09929411	GSE142465	V2							7890.652573529412	2516.558455882353	19021.757720588233	15801.653676470589	1743.675367647059	0.0	0.9999411914059344	8467.19411764706	11.24604653854271	2.8690316405521576
